title,DOI,authors,year,google scholar meta
"A survey of machine translation: Its history, current status and future prospects",,J Slocum,1985,"J Slocum - Computational linguistics, 1985 - aclanthology.org"
Machine translation: A brief history,,WJ Hutchins,1995,"WJ Hutchins - Concise history of the language sciences, 1995 - Elsevier"
Machine translation: History of research and applications,,WJ Hutchins,2023,"WJ Hutchins - Routledge encyclopedia of translation …, 2023 - api.taylorfrancis.com"
"Machine translation: History, development, and limitations",,H Somers,2011,H Somers - 2011 - academic.oup.com
Machine translation: History and general principles,,J Hutchins,1994,"J Hutchins - The encyclopedia of languages and linguistics, 1994 - scholar.archive.org"
Machine translation,,D Kenny,2018,"D Kenny - The Routledge handbook of translation and …, 2018 - api.taylorfrancis.com"
Reflections on the history and present state of machine translation,,J Hutchins,1995,"J Hutchins - Proc. of Machine Translation Summit V, 1995 - open.unive.it"
Machine-translation history and evolution: Survey for Arabic-English translations,,NT Alsohybe; NA Dahan; FM Ba-Alwi,2017,"NT Alsohybe, NA Dahan, FM Ba-Alwi - arXiv preprint arXiv:1709.04685, 2017 - arxiv.org"
Machine translation: A concise history,,J Hutchins,2010,"J Hutchins - 翻譯學報, 2010 - airitilibrary.com"
The history of natural language processing and machine translation,,Y Wilks,2005,"Y Wilks - Encyclopedia of language and linguistics, 2005 - researchgate.net"
